area_use,area_supply,space,rooms,restrooms,entrance,management_fee_year,management_fee_summer,management_fee_winter,floor_plan_url,households,area_supply_pyeong,uuid,apartment_uuid
216.73,244.99,244㎡,4,2,계단식,689951.0,771509.0,683146.0,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=17709&ptpId=3,55,74,apartmenttype_126,apartment_1165010126
244.87,277.18,277㎡,5,3,계단식,779547.0,871696.0,771859.0,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=17709&ptpId=4,30,83,apartmenttype_127,apartment_1165010126
28.81,35.76,35A㎡,1,1,계단식,117382.0,124421.0,117922.0,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=11458&ptpId=1,5,10,apartmenttype_128,apartment_1165010127
33.73,41.86,41B㎡,1,1,계단식,137428.0,145669.0,138060.0,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=11458&ptpId=2,5,12,apartmenttype_129,apartment_1165010127
39.31,48.79,48C㎡,1,1,계단식,160163.0,169767.0,160900.0,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=11458&ptpId=3,52,14,apartmenttype_130,apartment_1165010127
41.27,51.22,51D㎡,1,1,계단식,168149.0,178232.0,168922.0,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=11458&ptpId=4,1,15,apartmenttype_131,apartment_1165010127
43.93,54.52,54E㎡,1,1,계단식,178986.0,189719.0,179809.0,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=11458&ptpId=5,70,16,apartmenttype_132,apartment_1165010127
45.02,55.88,55F㎡,1,1,계단식,183428.0,194427.0,184271.0,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=11458&ptpId=6,1,16,apartmenttype_133,apartment_1165010127
46.24,57.39,57G㎡,1,1,계단식,188398.0,199695.0,189265.0,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=11458&ptpId=7,1,17,apartmenttype_134,apartment_1165010127
49.99,62.04,62H㎡,1,1,계단식,203677.0,215890.0,204614.0,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=11458&ptpId=8,1,18,apartmenttype_135,apartment_1165010127
57.37,71.21,71I㎡,1,1,계단식,233746.0,247762.0,234821.0,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=11458&ptpId=9,8,21,apartmenttype_136,apartment_1165010127
61.16,75.91,75J㎡,1,1,계단식,249188.0,264130.0,250334.0,https://land.naver.com/info/groundPlanGallery.nhn?rletNo=11458&ptpId=10,6,23,apartmenttype_137,apartment_1165010127
