uuid,uuid_specialpurposearea,uuid_districtboundarydong
"432",specialpurposearea_432,districtboundarydong_11650101
"433",specialpurposearea_433,districtboundarydong_11650101
"434",specialpurposearea_434,districtboundarydong_11650101
"435",specialpurposearea_435,districtboundarydong_11650101
"436",specialpurposearea_436,districtboundarydong_11650101
"437",specialpurposearea_437,districtboundarydong_11650107
"438",specialpurposearea_438,districtboundarydong_11650101
"439",specialpurposearea_439,districtboundarydong_11650107
"440",specialpurposearea_440,districtboundarydong_11650101
"441",specialpurposearea_441,districtboundarydong_11650101
"442",specialpurposearea_442,districtboundarydong_11650101
"443",specialpurposearea_443,districtboundarydong_11650101
"444",specialpurposearea_444,districtboundarydong_11650101
"445",specialpurposearea_445,districtboundarydong_11650101
"446",specialpurposearea_446,districtboundarydong_11650101
"447",specialpurposearea_447,districtboundarydong_11650107
"448",specialpurposearea_448,districtboundarydong_11650101
"449",specialpurposearea_449,districtboundarydong_11650101
"450",specialpurposearea_450,districtboundarydong_11650101
"451",specialpurposearea_451,districtboundarydong_11650107
"452",specialpurposearea_452,districtboundarydong_11650101
"453",specialpurposearea_453,districtboundarydong_11650101
"454",specialpurposearea_454,districtboundarydong_11650101
"455",specialpurposearea_455,districtboundarydong_11650101
"456",specialpurposearea_456,districtboundarydong_11650101
"457",specialpurposearea_457,districtboundarydong_11650101
"458",specialpurposearea_458,districtboundarydong_11650101
"459",specialpurposearea_459,districtboundarydong_11650101
"460",specialpurposearea_460,districtboundarydong_11650101
"461",specialpurposearea_461,districtboundarydong_11650101
"462",specialpurposearea_462,districtboundarydong_11650101
"463",specialpurposearea_463,districtboundarydong_11650101
"464",specialpurposearea_464,districtboundarydong_11650101
"465",specialpurposearea_465,districtboundarydong_11650101
"466",specialpurposearea_466,districtboundarydong_11650101
"467",specialpurposearea_467,districtboundarydong_11650101
"468",specialpurposearea_468,districtboundarydong_11650101
"469",specialpurposearea_469,districtboundarydong_11650101
"470",specialpurposearea_470,districtboundarydong_11650101
"471",specialpurposearea_471,districtboundarydong_11650101
"472",specialpurposearea_472,districtboundarydong_11650101
"473",specialpurposearea_473,districtboundarydong_11650101
"474",specialpurposearea_474,districtboundarydong_11650101
"475",specialpurposearea_475,districtboundarydong_11650101
